"Timestamp","If you give your consent to take part please click 'I agree' below","Please enter your Prolific ID","What is your reading level of English?","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:","List (up to) 5 words describing the author of this post:"
"2023/04/05 7:55:31 PM GMT+2","I agree","5e7e45b8f0320e0897cf5048","Fluent","white, middle aged, male","upper class, white, middle aged, capitalist","old, upper class","adult, middle to lower class","adult, single, middle class","middle-aged, middle class, white man","Islamic","middle to upper class, white man","middle aged, married","middle aged, middle class, single"
"2023/04/05 7:58:25 PM GMT+2","I agree","5f16125c73920477380e8c00","Mother tongue","American, middle aged, outspoken","Thinks their smarter than they are ","Traumatized, new atheist ","Young, not well travelled ","Physics enthusiast, educated ","Male Karen ","Young, liberal, female ","Young, male, conservative ","Middle aged male ","Female, young, educated"
"2023/04/05 7:59:11 PM GMT+2","I agree","6155841573df9e7e0d71a709","Fluent","Stupid insensitive repulsive disgusting rude","Insensitive inhuman unhappy confused impulsive ","Fair truth eye-opening educational realistic ","Honesty trustworthy educational realistic focused ","Dishonest sad optimistic risky unfaithful","Faithful honest truthful frowned amazed ","Worried sad distracted distressed concerned ","Trustworthy truthful realistic overwhelmed optimistic ","Unreasonable unfair rude unrealistic sad","Educating truthful fair opinionated good "
"2023/04/05 7:59:34 PM GMT+2","I agree","60fef19b9c12d84b5a87fa1d","Fluent","man, young, opinionated, smart","man, capitalist, well-read, pessimist","thinker, philosopher, pessimist, sad","opinionated, man, young, optimist","driven, nerd, passionate, smart","opinionated, sports-man, hot headed","smart, philosopher, well-read","man, capitalist, army lover","smart, hot headed, angry, middle aged","empathetic, young, smart, well-read"
"2023/04/05 8:00:39 PM GMT+2","I agree","61230876ad65890ff8619511","Fluent","Young, middle-class, liberal","Middle-aged, conservative, white","Pessimistic, depressed, educated, curious","Liberal, upper-middle class, highly educated, non-religious","Middle class, science fan","Sensitive, logical, educated, well-spoken","Relegious, Muslim, educated","Arab, upper-middle class, well educated, male","Male, lower-middle class, middle-aged, white","Liberal, young, non-religious"
"2023/04/05 8:08:36 PM GMT+2","I agree","5f10d1960878f0401ddc72ba","Fluent","university student, tech-savvy, chill, mediocre student, outgoing","university graduate, has friends, stable yet low paying job, has a partner of a similar background","young adult, artistic, stable family environment, internet active, black hair","low income household, low paying job, large family, tries to do the right thing, usually smiles","university student, vocal, confident when wrong","man in their 30s, likes sports, under achiever, lives with partner","young adult, stable family environment, into STEM, short","Outgoing, middle-aged, spends time with friends, low paying job, kind heart","in their 30s, not very clever, in a stable relationship","female, in her 50s, low paying job, low education, wears glasses"
"2023/04/05 8:10:33 PM GMT+2","I agree","5d70ec2138ac7e00012f817b","Fluent","Young Adult, Healthy, Middle class","Educated, young, strong minded, middle class, loyal","Teen, not religious, health problems, pessimist ","Young adult, low class, sincere, open-minded, tolerant","Highly Educated, Work related with physics, pessimist ","Middle-aged, unforgiving, strong-minded","Not religious, Sincere","Honest, Fair, Conscientious","Skeptical, Middle Aged, Humble, open-minded, Sincere","Honest, strong-minded"
"2023/04/05 8:14:23 PM GMT+2","I agree","60bfa4a37ea373b300727816","Fluent","intuitive, responsible, smart, interested, rightful","naive, immature, snob, consumist, unnecessary","creative, open-minded, philosophical, curious, scared","futuristic, fascinating, explorer, dreamy, positive. ","observant, critic, analitic, expert, scientist ","Angry, supportive, atheletic, enthusiast, anxious ","worried, cautious, believer, thoughtful, naive","careful, schematic, worried, protective, nervous ","skeptical, annoyed, curious, tired, lost. ","down-to-earth, concerned, realistic, honest, intimidating "
"2023/04/05 8:18:10 PM GMT+2","I agree","60832c401f9b0439e333066b","Capable","liberal, man, irresponsible, no rules, unintelligent","communist, skeptic, capitalist, socialist, self-seeker","atheist,skeptical","globalist, believer, anti-democratic","crazy, cult","sportsman, with critical opinion, man","philosopher, interesting, thinker, cultured","crazy, not rational, undemocratic, does not know how to live in society","skeptical, idiot, man, ","skeptical,"
"2023/04/05 8:20:34 PM GMT+2","I agree","5a081034ab721b0001ef7952","Mother tongue","middle-aged, opinionated, vociferous, male, working class","educated, receptive, politically-aware, stubborn, conversationalist","imaginative, pessimistic, agnostic, deep-thinker, sensitive","observer, forward-thinker, young, energetic, active","scientist, geek, young, male, logical","sports fan, rigid, perfectionist, disciplinarian, easily offended","open-minded, young, educated, accepting, tolerant","logical, balanced, nationalistic, rational, understanding","judgemental, dubious, concerned, interested, traditional","female, altruistic, charitable, discerning, caring"
